station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
DSM,2024-05-20,84.0,63.0,67.0,61.0,0.54,6.95181,160.32529,52.757877,74.93439,96.55186,0.0,0.0,63.0,73.45942,84.77788,13.90362,19.117477,None,73.8,53.9,0.18
DSM,2024-05-21,83.0,57.0,70.0,49.0,1.58,14.772596,196.6149,62.736782,80.85536,93.236496,0.0,0.0,58.0,69.00577,86.547714,30.41417,39.10393,None,74.2,54.3,0.17
DSM,2024-05-22,76.0,53.0,51.0,46.0,0.0,8.602865,270.21277,38.114365,56.021812,80.07423,0.0,0.0,53.0,65.1122,75.0,18.2485,25.200312,None,74.5,54.7,0.17
DSM,2024-05-23,80.0,57.0,58.0,45.0,0.0001,9.645637,144.9094,30.050354,51.96045,77.3798,0.0,0.0,57.0,69.83362,79.20411,17.379524,24.331335,None,74.9,55.1,0.17
DSM,2024-05-24,76.0,56.0,66.0,47.0,0.29,10.080125,255.8904,46.114227,67.54993,89.844795,0.0,0.0,59.0,67.741745,76.0,33.0211,44.317787,None,75.3,55.5,0.17
DSM,2024-05-25,79.0,50.0,51.0,44.0,0.0001,9.037353,140.28496,29.895752,55.35847,86.11859,0.0,0.0,51.0,66.161705,79.0,17.379524,23.462358,None,75.6,55.9,0.16
DSM,2024-05-26,79.0,61.0,61.0,51.0,0.15,6.5173216,19.997488,50.215305,72.44003,93.12406,0.0,0.0,61.0,68.08223,78.0,14.772596,19.986454,None,76.0,56.2,0.16
DSM,2024-05-27,78.0,54.0,60.0,43.0,0.26,8.515967,293.24155,30.901505,63.24104,92.92053,0.0,0.0,54.0,66.69477,78.0,26.938263,34.75905,None,76.3,56.6,0.16
DSM,2024-05-28,75.0,54.0,52.0,43.0,0.0,6.6911173,328.05548,34.15459,56.3541,86.2867,0.0,0.0,54.0,65.772125,74.0,19.117477,27.80724,None,76.7,57.0,0.16
DSM,2024-05-29,74.0,51.0,51.0,44.0,0.0,4.0841885,104.57261,35.32318,54.697334,86.2867,0.0,0.0,52.0,65.392334,74.0,11.296691,14.772596,None,77.0,57.3,0.17
DSM,2024-05-30,79.0,59.0,56.0,46.0,0.0,10.775306,135.0797,41.566788,52.679592,66.82998,0.0,0.0,59.0,69.76934,78.0,18.2485,22.593382,None,77.3,57.7,0.17
DSM,2024-05-31,81.0,64.0,56.0,51.0,0.0001,8.081479,145.92639,41.722034,53.216743,67.63664,0.0,0.0,64.0,72.277954,80.10878,15.641572,22.593382,None,77.7,58.0,0.17
DSM,2024-06-01,82.0,63.0,60.0,55.0,0.0,4.171086,26.362139,43.89786,59.829117,80.83122,0.0,0.0,64.0,73.43652,82.1544,8.689762,13.90362,None,78.0,58.4,0.18
DSM,2024-06-02,83.0,63.0,64.0,59.0,0.0,9.993227,144.07198,50.79502,70.7719,89.96762,0.0,0.0,63.0,72.95853,83.16891,19.986454,26.069286,None,78.3,58.7,0.18
DSM,2024-06-03,88.0,71.0,68.0,62.0,0.0,9.12425,192.8947,44.653313,65.28715,81.40747,0.0,0.0,71.0,79.29226,88.825615,19.117477,26.069286,None,78.7,59.1,0.18
DSM,2024-06-04,84.0,63.0,69.0,62.0,0.63,6.7780147,182.41463,54.633873,75.318886,93.34623,0.0,0.0,66.0,75.6617,85.59892,21.724405,29.545193,None,79.0,59.4,0.18
DSM,2024-06-05,85.0,56.0,61.0,51.0,0.0001,8.689762,263.02106,35.718548,58.757614,86.87835,0.0,0.0,56.0,70.646385,82.85339,19.117477,26.069286,None,79.3,59.7,0.18
DSM,2024-06-06,83.0,62.0,46.0,36.0,0.0,13.382235,301.0952,19.849539,32.974728,48.122982,0.0,0.0,63.0,72.66179,79.901146,27.80724,38.234955,None,79.6,60.0,0.18
DSM,2024-06-07,83.0,58.0,58.0,42.0,0.02,4.171086,224.70026,28.145176,42.697067,60.46652,0.0,0.0,59.0,72.11453,80.3555,8.689762,12.165668,None,79.9,60.3,0.19
DSM,2024-06-08,80.0,59.0,65.0,50.0,0.0,6.95181,335.49692,47.842495,60.454285,75.835594,0.0,0.0,64.0,72.12404,79.0,19.117477,25.200312,None,80.2,60.6,0.18
DSM,2024-06-09,84.0,56.0,53.0,39.0,0.0,6.6911173,329.6316,21.903952,46.85401,86.45185,0.0,0.0,57.0,70.32565,81.37493,15.641572,25.200312,None,80.5,60.9,0.17
DSM,2024-06-10,76.0,52.0,54.0,40.0,0.0,5.995936,49.197353,28.465069,46.6147,66.59451,0.0,0.0,57.0,68.06969,76.0,11.296691,15.641572,None,80.7,61.2,0.17
DSM,2024-06-11,90.0,60.0,59.0,41.0,0.0001,8.168377,206.74103,32.600224,46.527817,59.80411,0.0,0.0,60.0,74.37363,87.64272,18.2485,26.069286,None,81.0,61.5,0.18
DSM,2024-06-12,90.0,66.0,62.0,55.0,0.0,8.863558,200.59311,35.20418,51.03032,75.56758,0.0,0.0,67.0,80.03678,88.625435,21.724405,28.676216,None,81.3,61.8,0.19
DSM,2024-06-13,93.0,74.0,69.0,52.0,0.0,7.994581,58.412113,28.8969,49.272896,70.97356,0.0,0.0,74.0,81.875565,91.319664,19.986454,27.80724,None,81.6,62.0,0.18
DSM,2024-06-14,90.0,63.0,59.0,44.0,0.0,5.8221407,14.424358,22.614996,42.4696,80.7574,0.0,0.0,63.0,77.844246,86.01473,12.165668,15.641572,None,81.8,62.3,0.18
DSM,2024-06-15,85.0,67.0,65.0,49.0,0.1,11.383589,150.44347,42.644836,55.287266,84.155464,0.0,0.0,67.0,75.11714,85.92426,32.152122,41.71086,None,82.1,62.6,0.19
DSM,2024-06-16,93.0,68.0,70.0,64.0,0.13,11.035998,193.69711,42.35249,62.91439,90.12802,0.0,0.0,68.0,83.62313,95.084656,20.85543,33.0211,None,82.3,62.8,0.18
DSM,2024-06-17,93.0,77.0,70.0,64.0,0.0,11.731179,173.68723,42.201916,58.501026,73.87405,0.0,0.0,77.0,86.896866,96.67863,22.593382,30.41417,None,82.5,63.0,0.18
DSM,2024-06-18,90.0,69.0,70.0,64.0,0.22,14.338108,178.53139,51.50853,66.10764,90.20681,0.0,0.0,69.0,84.76772,94.29493,31.283144,44.317787,None,82.7,63.3,0.18
DSM,2024-06-19,72.0,67.0,68.0,62.0,0.22,5.9090385,14.631171,78.38289,86.909645,93.37325,0.0,0.0,67.0,69.00878,72.0,12.165668,16.51055,None,83.0,63.5,0.17
DSM,2024-06-20,84.0,66.0,70.0,63.0,0.37,4.2579837,77.38865,58.56242,81.54683,96.58053,0.0,0.0,66.0,74.16143,85.59892,10.427715,13.90362,None,83.2,63.7,0.18
DSM,2024-06-21,92.0,74.0,74.0,69.0,0.0001,9.645637,185.6385,48.633907,69.20288,90.39978,0.0,0.0,74.0,86.208275,97.2908,15.641572,26.938263,None,83.4,63.9,0.17
DSM,2024-06-22,90.0,73.0,74.0,67.0,0.0001,11.991872,234.21716,55.45014,66.429344,76.18654,0.0,0.0,75.0,87.33666,96.73301,19.986454,27.80724,None,83.6,64.1,0.19
DSM,2024-06-23,90.0,67.0,68.0,62.0,0.0,5.387653,294.20224,41.899574,64.23018,90.167534,0.0,0.0,67.0,80.133286,89.33843,12.165668,16.51055,None,83.8,64.3,0.17
DSM,2024-06-24,98.0,74.0,75.0,65.0,0.01,11.731179,171.7123,49.349415,61.61073,81.54764,0.0,0.0,74.0,92.18448,109.74238,19.117477,26.938263,None,83.9,64.5,0.17
DSM,2024-06-25,94.0,67.0,78.8,65.0,1.13,9.037353,227.21346,55.180084,65.20055,96.60884,0.0,0.0,67.0,90.99428,107.79258,33.89007,48.66267,None,84.1,64.7,0.17
DSM,2024-06-26,90.0,69.0,69.0,56.0,0.0,7.212503,351.8811,32.753235,59.615253,93.37325,0.0,0.0,69.0,78.45491,87.367836,14.772596,26.069286,None,84.3,64.8,0.16
DSM,2024-06-27,81.0,65.0,69.0,56.0,0.01,7.212503,120.31962,52.4755,67.64422,81.61716,0.0,0.0,66.0,73.6282,82.04111,17.379524,22.593382,None,84.4,65.0,0.16
DSM,2024-06-28,80.0,68.0,73.0,65.0,1.29,10.60151,139.89641,79.09418,85.014854,93.34623,0.0,0.0,69.0,73.843056,84.12967,21.724405,30.41417,None,84.6,65.1,0.16
DSM,2024-06-29,82.0,63.0,72.0,54.0,0.0,8.342172,323.6743,43.74547,67.7304,96.6368,0.0,0.0,64.0,75.27679,82.54184,20.85543,28.676216,None,84.7,65.3,0.16
DSM,2024-06-30,78.0,59.0,54.0,50.0,0.0,6.169731,59.703037,41.722034,58.29729,77.721375,0.0,0.0,59.0,68.18885,77.0,13.034643,18.2485,None,84.8,65.4,0.15
DSM,2024-07-01,73.0,61.0,53.0,46.0,0.0001,12.600156,127.48217,42.197723,56.938644,74.925735,0.0,0.0,61.0,67.382576,73.0,19.117477,26.938263,None,84.9,65.6,0.14
DSM,2024-07-02,81.0,63.0,75.0,51.0,1.85,6.95181,152.69284,50.88588,84.558205,96.53739,0.0,0.0,63.0,72.11541,86.3021,20.85543,24.331335,None,85.1,65.7,0.13
DSM,2024-07-03,86.0,63.0,70.0,62.0,0.0,4.2579837,251.2907,46.10628,72.55903,96.65066,0.0,0.0,63.0,76.633896,86.765816,10.427715,13.90362,None,85.2,65.8,0.14
DSM,2024-07-04,82.0,67.0,68.0,61.0,0.02,5.995936,202.99416,56.29896,74.0386,93.319046,0.0,0.0,68.0,74.885895,83.796616,19.986454,23.462358,None,85.3,65.9,0.13
DSM,2024-07-05,80.0,62.0,63.0,56.0,0.0,10.25392,297.38428,46.71927,70.85974,86.98191,0.0,0.0,63.0,69.92892,79.0,20.85543,28.676216,None,85.4,66.0,0.14
DSM,2024-07-06,85.0,60.0,66.0,58.0,0.0001,4.431779,214.37434,42.797188,66.30336,93.09552,0.0,0.0,60.0,74.46138,85.205284,19.117477,25.200312,None,85.4,66.1,0.14
DSM,2024-07-07,83.0,64.0,69.0,59.0,1.41,5.0400624,131.53899,54.21883,70.12119,96.56624,0.0,0.0,65.0,74.20334,83.11301,19.986454,25.200312,None,85.5,66.2,0.14
DSM,2024-07-08,83.0,62.0,65.0,60.0,0.0,3.215212,283.41736,49.028793,70.56174,93.180626,0.0,0.0,63.0,73.582245,83.752686,10.427715,13.034643,None,85.6,66.3,0.13
DSM,2024-07-09,85.0,66.0,65.0,61.0,0.0,3.9972906,344.32587,47.465008,65.28466,87.03324,0.0,0.0,67.0,76.50524,85.92426,11.296691,15.641572,None,85.6,66.3,0.13
DSM,2024-07-10,83.0,65.0,69.0,61.0,0.15,3.9972906,280.56567,54.49604,74.75425,90.08828,0.0,0.0,66.0,73.72613,84.14535,14.772596,19.986454,None,85.7,66.4,0.12
DSM,2024-07-11,83.0,63.0,66.0,61.0,0.0,6.430424,74.47848,49.1749,68.48852,86.98191,0.0,0.0,65.0,75.35468,84.069214,12.165668,19.986454,None,85.7,66.4,0.12
DSM,2024-07-12,87.0,67.0,72.0,63.0,0.0,9.037353,127.12322,52.898304,71.53198,86.98191,0.0,0.0,67.0,79.94435,91.45816,14.772596,23.462358,None,85.8,66.5,0.11
DSM,2024-07-13,91.0,73.0,74.0,68.0,0.0,9.645637,176.51706,53.867287,69.6502,84.39787,0.0,0.0,74.0,87.26374,99.5694,19.117477,23.462358,None,85.8,66.5,0.12
DSM,2024-07-14,93.0,79.0,76.0,69.0,0.0,9.558739,229.81801,55.315365,65.33606,76.61518,0.0,0.0,79.0,90.88682,104.50276,19.986454,30.41417,None,85.8,66.6,0.12
DSM,2024-07-15,95.0,72.0,77.0,69.0,0.0001,5.7352433,204.16748,52.624714,73.21971,90.32327,0.0,0.0,73.0,87.51232,109.94281,27.80724,42.579834,None,85.8,66.6,0.12
DSM,2024-07-16,81.0,69.0,71.0,61.0,0.0001,5.4745502,342.55234,54.079453,69.84272,87.38443,0.0,0.0,70.0,75.22629,81.4083,12.165668,16.51055,None,85.9,66.6,0.11
DSM,2024-07-17,82.0,62.0,63.0,52.0,0.0,6.430424,350.2542,43.131565,60.273186,86.930275,0.0,0.0,66.0,73.74957,81.40442,13.034643,19.117477,None,85.9,66.7,0.12
DSM,2024-07-18,79.0,59.0,56.0,53.0,0.0,3.8234954,88.68573,41.87687,58.201893,83.52506,0.0,0.0,60.0,70.466896,78.0,8.689762,13.034643,None,85.9,66.7,0.12
DSM,2024-07-19,81.0,63.0,61.0,54.0,0.0001,6.3435264,155.27292,43.74547,58.57466,72.52157,0.0,0.0,63.0,72.67832,80.38053,10.427715,17.379524,None,85.9,66.7,0.12
DSM,2024-07-20,74.0,64.0,64.0,61.0,0.14,4.171086,153.57239,68.416916,80.64012,96.56624,0.0,0.0,65.0,69.18327,74.0,7.820786,11.296691,None,85.8,66.7,0.11
DSM,2024-07-21,83.0,64.0,66.0,60.0,0.0,2.2593381,93.98335,48.882202,70.94845,93.236496,0.0,0.0,65.0,73.37809,82.88709,7.820786,14.772596,None,85.8,66.7,0.11
DSM,2024-07-22,83.0,63.0,67.0,61.0,0.22,2.8676217,162.9359,54.357697,73.8034,87.08428,0.0,0.0,66.0,73.54089,84.77788,12.165668,15.641572,None,85.8,66.7,0.11
DSM,2024-07-23,87.0,66.0,68.0,62.0,0.0,4.5186763,250.59813,49.75452,69.207924,90.0483,0.0,0.0,66.0,78.14612,89.33795,10.427715,13.034643,None,85.8,66.7,0.12
DSM,2024-07-24,89.0,69.0,72.0,65.0,0.04,4.5186763,148.1723,51.649754,72.57796,87.33512,0.0,0.0,69.0,79.52333,92.3533,14.772596,18.2485,None,85.7,66.6,0.12
DSM,2024-07-25,84.0,70.0,71.0,68.0,0.0,9.12425,92.34424,67.05904,78.63698,93.40011,0.0,0.0,70.0,78.34525,87.641464,13.90362,24.331335,None,85.7,66.6,0.12
DSM,2024-07-26,90.0,72.0,75.0,68.0,0.0,9.384943,130.4457,60.618076,76.590836,90.28468,0.0,0.0,72.0,82.35406,99.18441,14.772596,19.117477,None,85.6,66.6,0.11
DSM,2024-07-27,90.0,73.0,72.0,66.0,0.0,8.863558,154.80745,50.04146,70.99846,90.36164,0.0,0.0,73.0,82.02989,93.91625,19.117477,24.331335,None,85.6,66.6,0.12
DSM,2024-07-28,91.0,70.0,71.0,67.0,0.06,8.950456,157.37785,50.04146,70.60559,90.28468,0.0,0.0,71.0,81.915726,94.84554,15.641572,21.724405,None,85.5,66.5,0.13
DSM,2024-07-29,92.0,70.0,73.0,68.0,0.49,3.5628026,93.03418,52.20978,75.40219,100.0,0.0,0.0,69.8,83.436005,99.78598,12.165668,16.51055,None,85.5,66.5,0.12
DSM,2024-07-30,86.0,69.0,72.0,64.0,1.06,10.25392,155.11086,53.03823,72.59153,93.34623,0.0,0.0,69.0,77.335846,87.74726,39.10393,50.400623,None,85.4,66.4,0.12
DSM,2024-07-31,91.0,67.0,78.0,62.6,3.55,9.993227,148.03366,56.96819,74.38392,90.437706,0.0,0.0,67.0,81.828064,101.775444,42.579834,57.352432,None,85.3,66.4,0.13
DSM,2024-08-01,86.0,69.0,69.0,64.0,0.0,8.950456,313.90494,53.177654,69.16593,87.18548,0.0,0.0,70.0,79.58485,88.825615,18.2485,26.069286,None,85.3,66.3,0.13
DSM,2024-08-02,89.0,70.0,72.0,62.0,0.0,6.430424,327.3835,43.251743,66.553696,90.20681,0.0,0.0,70.0,80.68767,91.00733,14.772596,19.986454,None,85.2,66.2,0.14
DSM,2024-08-03,93.0,71.0,72.0,67.0,0.0,4.6924715,293.6203,44.00102,68.32736,93.40011,0.0,0.0,71.0,85.772934,98.23501,12.165668,15.641572,None,85.1,66.1,0.12
DSM,2024-08-04,96.0,73.0,76.0,67.0,0.0,7.994581,207.4268,45.985806,65.965,87.28552,0.0,0.0,73.0,89.30631,105.94234,15.641572,21.724405,None,85.0,66.1,0.14
DSM,2024-08-05,95.0,75.0,75.0,64.0,0.0,7.125605,183.02228,38.727673,58.21809,79.39962,0.0,0.0,75.0,88.038734,99.03971,15.641572,19.117477,None,84.9,66.0,0.13
DSM,2024-08-06,81.0,63.0,73.0,57.0,0.0001,9.211148,350.63568,63.487995,73.04332,87.23564,0.0,0.0,63.0,69.09858,84.12967,19.986454,28.676216,None,84.8,65.9,0.13
DSM,2024-08-07,81.0,60.0,62.0,58.0,0.0,3.9972906,121.27982,50.506157,66.48882,89.926926,0.0,0.0,61.0,72.29383,81.0261,10.427715,17.379524,None,84.7,65.8,0.14
DSM,2024-08-08,78.0,62.0,65.0,50.0,0.01,8.168377,321.65173,46.266193,65.72672,86.98191,0.0,0.0,63.0,71.10042,77.0,19.117477,24.331335,None,84.6,65.7,0.14
DSM,2024-08-09,75.0,55.0,52.0,46.0,0.0,9.12425,311.2527,38.114365,60.421913,80.22901,0.0,0.0,56.0,64.54843,73.0,18.2485,27.80724,None,84.5,65.5,0.13
DSM,2024-08-10,79.0,54.0,56.0,49.0,0.0,4.344881,281.47934,38.89973,58.615276,80.305756,0.0,0.0,55.0,67.15888,78.0,14.772596,19.986454,None,84.4,65.4,0.14
DSM,2024-08-11,79.0,59.0,60.0,55.0,0.0,3.7365978,157.34581,48.141987,63.51629,86.56035,0.0,0.0,59.0,70.31799,77.0,10.427715,13.034643,None,84.3,65.3,0.13
DSM,2024-08-12,71.0,63.0,64.0,57.0,0.53,7.212503,77.172455,61.24285,85.600716,96.56624,0.0,0.0,63.0,66.45017,71.0,13.034643,19.117477,None,84.2,65.1,0.13
DSM,2024-08-13,74.0,65.0,65.0,63.0,0.0001,5.8221407,106.69666,73.4019,85.45779,96.58053,0.0,0.0,65.0,69.02439,73.0,13.90362,19.986454,None,84.1,65.0,0.13
DSM,2024-08-14,81.0,66.0,71.0,64.0,1.02,10.688408,122.10629,66.723335,82.944405,96.58053,0.0,0.0,66.0,72.77954,82.57736,22.593382,30.41417,None,84.0,64.8,0.14
DSM,2024-08-15,87.0,71.0,72.0,68.0,0.1,6.256629,218.68213,63.0984,80.380775,93.40011,0.0,0.0,71.0,78.65227,92.246544,14.772596,19.986454,None,83.9,64.7,0.14
DSM,2024-08-16,87.0,67.0,69.0,63.0,0.0,8.515967,277.32324,46.403145,68.66,90.24586,0.0,0.0,68.0,78.15526,88.80702,20.85543,28.676216,None,83.8,64.5,0.14
DSM,2024-08-17,83.0,65.0,65.0,62.0,0.0,9.037353,308.9403,54.633873,72.38444,90.00808,0.0,0.0,65.0,73.67982,84.77788,15.641572,19.986454,None,83.6,64.3,0.14
DSM,2024-08-18,85.0,64.0,65.0,62.0,0.0,4.344881,8.346955,46.10628,70.6009,93.20864,0.0,0.0,64.0,74.63285,85.92426,11.296691,15.641572,None,83.5,64.2,0.14
DSM,2024-08-19,82.0,64.0,64.0,54.0,0.0,5.561448,11.923433,39.366528,66.0865,93.26418,0.0,0.0,64.0,73.365074,81.94391,14.772596,22.593382,None,83.4,64.0,0.14
DSM,2024-08-20,77.0,59.0,63.0,57.0,0.09,4.171086,107.14155,51.76066,68.72851,89.80336,0.0,0.0,60.0,70.18258,76.0,10.427715,14.772596,None,83.2,63.8,0.14
DSM,2024-08-21,77.0,63.0,63.0,56.0,0.05,7.2994003,117.71332,51.76066,72.46403,93.236496,0.0,0.0,64.0,69.34007,77.0,12.165668,19.117477,None,83.1,63.5,0.13
DSM,2024-08-22,78.0,58.0,58.0,53.0,0.0,8.950456,146.88261,44.900772,65.66673,83.46003,0.0,0.0,58.0,67.85157,78.0,17.379524,21.724405,None,82.9,63.3,0.14
DSM,2024-08-23,81.0,59.0,64.0,54.0,0.0,7.4731956,139.47862,45.50714,66.75618,80.533455,0.0,0.0,60.0,70.451004,81.21911,12.165668,19.986454,None,82.8,63.1,0.13
DSM,2024-08-24,86.0,67.0,72.0,62.0,0.0,8.689762,136.37587,63.0984,73.79462,84.03221,0.0,0.0,67.0,78.59847,92.246544,17.379524,22.593382,None,82.6,62.9,0.14
DSM,2024-08-25,94.0,75.0,77.0,68.0,0.0,8.863558,168.47101,55.984222,70.48358,81.61716,0.0,0.0,75.0,90.0063,107.24766,13.90362,18.2485,None,82.5,62.6,0.13
DSM,2024-08-26,99.0,76.0,78.0,72.0,0.0,6.5173216,203.58096,43.542706,68.49019,87.5307,0.0,0.0,77.0,93.416245,111.05416,13.034643,19.117477,None,82.3,62.4,0.13
DSM,2024-08-27,93.0,74.0,74.0,67.0,0.08,6.6911173,301.62448,48.34447,69.2202,87.48222,0.0,0.0,76.0,85.55866,97.8899,19.986454,27.80724,None,82.1,62.1,0.13
DSM,2024-08-28,88.0,70.0,72.0,67.0,0.0,6.082834,157.33138,53.455,75.55151,94.05696,0.0,0.0,70.0,80.900856,93.10589,13.90362,19.117477,None,81.9,61.8,0.13
DSM,2024-08-29,94.0,71.0,73.0,66.0,0.89,8.77666,167.07445,45.69273,70.72965,93.4268,0.0,0.0,71.0,84.85794,101.273346,30.41417,38.234955,None,81.8,61.6,0.13
DSM,2024-08-30,82.0,65.0,69.0,58.0,0.13,4.171086,321.32742,45.50714,72.41717,96.6368,0.0,0.0,67.0,74.06356,81.21911,10.427715,13.90362,None,81.6,61.3,0.14
DSM,2024-08-31,84.0,60.0,63.0,56.0,0.0,4.0841885,244.1836,41.136776,67.91623,93.180626,0.0,0.0,60.0,72.06752,84.0226,10.427715,13.034643,None,81.4,61.0,0.13
DSM,2024-09-01,79.0,62.0,62.0,45.0,0.0,8.081479,8.980959,32.101894,53.188507,83.97006,0.0,0.0,64.0,70.836235,78.0,15.641572,24.331335,None,81.2,60.7,0.12
DSM,2024-09-02,77.0,52.0,54.0,47.0,0.0,5.7352433,113.86766,39.895798,57.302567,86.17496,0.0,0.0,52.0,66.5547,76.0,12.165668,14.772596,None,81.0,60.4,0.11
DSM,2024-09-03,80.0,57.0,55.0,48.0,0.0,7.0387077,140.59537,37.794827,57.522842,75.01887,0.0,0.0,57.0,68.13748,79.754845,13.034643,16.51055,None,80.7,60.1,0.12
DSM,2024-09-04,83.0,57.0,59.0,50.0,0.0,6.7780147,162.17036,39.52138,59.742775,77.3798,0.0,0.0,57.0,69.73003,81.56723,13.90362,19.986454,None,80.5,59.7,0.11
DSM,2024-09-05,81.0,64.0,66.0,54.0,0.0001,6.6042194,322.3909,56.163555,66.42919,73.59218,0.0,0.0,65.0,71.734146,81.4083,13.90362,18.2485,None,80.3,59.4,0.12
DSM,2024-09-06,75.0,54.0,54.0,44.0,0.0,7.2994003,344.75858,34.31232,59.32167,86.2867,0.0,0.0,54.0,64.57282,75.0,13.90362,21.724405,None,80.0,59.1,0.11
DSM,2024-09-07,74.0,49.0,49.0,45.0,0.0,3.7365978,78.128784,36.695335,61.204384,89.37499,0.0,0.0,50.0,62.18188,73.0,10.427715,13.034643,None,79.8,58.7,0.11
DSM,2024-09-08,76.0,52.0,52.0,45.0,0.0,5.561448,208.05826,38.42961,58.028576,76.9423,0.0,0.0,52.0,64.107315,75.0,12.165668,15.641572,None,79.5,58.4,0.11
DSM,2024-09-09,84.0,55.0,54.0,46.0,0.0,6.8649125,167.22961,32.88028,52.989616,74.356575,0.0,0.0,55.0,68.44259,81.63979,14.772596,21.724405,None,79.2,58.0,0.11
DSM,2024-09-10,85.0,59.0,52.0,46.0,0.0,9.037353,171.00493,27.394836,44.480072,59.80411,0.0,0.0,60.0,71.68557,82.71472,17.379524,21.724405,None,79.0,57.6,0.11
DSM,2024-09-11,87.0,60.0,57.0,48.0,0.0,6.3435264,159.91196,26.823593,50.077213,72.11727,0.0,0.0,60.0,72.65258,83.49065,12.165668,16.51055,None,78.7,57.3,0.12
